105;1000;44;20;86;03.02.04;10;"Surat Penunjukan Walikota : 2101/A-3/PEM/1988 ; Tg";Baik;Tidak;Beton;Hibah;Berada dlm areal IPA Smd Seberang ( Luas 10000 M2);48 (12x4);03.02.04;-;14/07/2023;-;IMG_20230103_131234.jpg;Bak Lagon
106;900;46;20;99;03.02.06;1;Pembelian;Baik;Tidak;Beton;Hak Milik;Berada dlm areal IPA Selili ( Luas 4570.65 M2);55.4;03.02.06;-;0001-01-01;-;R OPERATOR.jpeg;Ruang Opertaor & Lab Mini
107;1062;46;20;99;03.02.06;2;Pembelian;Baik;Tidak;Beton;Hak Milik;Berada dlm areal IPA Selili ( Luas 4570.65 M2);32;03.02.06;-;0001-01-01;-;GUDANG BAHAN KIMIA.jpg;Gudang Bahan Kimia
108;982;46;20;99;03.02.06;3;Pembelian;Baik;Tidak;Tidak;Hak Milik;Berada dlm areal IPA Selili ( Luas 4570.65 M2);166;03.02.06;-;0001-01-01;Tabung;WTP IPA SELILI.jpeg;WTP
109;948;46;20;99;03.02.06;4;Pembelian;Baik;Tidak;Tidak;Hak Milik;Berada dlm areal IPA Selili ( Luas 4570.65 M2);150;03.02.06;-;0001-01-01;3 Bak ;CLARIFIER.jpeg;Bak Clarifier
110;949;46;20;99;03.02.06;5;Pembelian;Baik;Tidak;Beton;Hak Milik;Berada dlm areal IPA Selili ( Luas 4570.65 M2);160;03.02.06;-;0001-01-01;-;RESERVOIR.jpeg;Bak Resservoir
111;950;46;20;99;03.02.06;6;Pembelian;Baik;Tidak;Beton;Hak Milik;9,5;Berada dlm areal IPA Selili ( Luas 4570.65 M2);03.02.06;-;18/07/2023;-;ex rumah boster.jpg;Bak Mixer Bahan Kimia
127;951;50;20;90;03.02.09;1;Hibah;Baik;Tidak;Beton;Hak Pakai;183 m2;Berada dalam lahan IPA Loa Bakung (5000 m2);03.02.09;-;17/07/2023;-;1 KANTOR.jpg;"Gedung Kantor; Ruang Operator; Gudang dan PBK"
128;905;50;20;90;03.02.09;2;Hibah;Baik;Tidak;Beton;Hak Pakai;Berada di dim areal lahan Cendana (luas 5000 M2);174;03.02.09;-;17/07/2023;-;2 BAK IPA.jpg;Bak IPA
129;1013;50;20;90;03.02.09;3;Hibah;Baik;Tidak;Beton;Hak Pakai;Berada di dim areal lahan Cendana (luas 5000 M2);147;03.02.09;-;17/07/2023;-;3 BAK FILTER.jpg;Bak Filtrasi
130;949;50;20;90;03.02.09;4;Hibah;Baik;Tidak;Beton;Hak Pakai;Berada di dim areal lahan Cendana (luas 5000 M2);284;03.02.09;-;20/07/2023;-;4 BAK RESSERVOIR.jpg;Bak Ressevoir
131;942;50;20;90;03.02.09;5;Hibah;Baik;Tidak;Tidak;Hak Pakai;68;Terletak dama area IPA Loa Bakung ( 5000 m2 0;03.02.09;-;18/07/2023;-;5 RUMAH POMPA DIST.jpg;Rumah Pompa Distribusi
132;983;50;20;90;03.02.09;6;Hibah;Baik;Tidak;Beton;Hak Pakai;Berada di dim areal lahan Cendana (luas 5000 M2);72;03.02.09;-;18/07/2023;-;6 RUMAH GENSET.jpg;Rumah Genset
133;971;50;20;90;03.02.09;7;Hibah;Baik;Tidak;Beton;Hak Pakai;Berada di dim areal lahan Cendana (luas 5000 M2);5;03.02.09;-;20/07/2023;-;7 POS SCURITY.jpg;Pos Satpam
134;951;45;20;89;03.02.05;1;Pembelian;Baik;Tidak;Beton;"SPHAT : 14/BA/CA/04W 18/1991 ; 26-07-1991 ; 13/PPA";51,5 m2;2.213 ( 750 m2 + 1463 m2 );03.02.05;-;17/07/2023;-;92e9ef85-65c3-4bed-86f1-59b7f8d26cb9.jfif;Gedung Kantor dan Ruang Operator
135;942;45;20;89;03.02.05;2;Pembelian;Baik;Tidak;Beton;"SPHAT : 14/BA/CA/04W 18/1991 ; 26-07-1991 ; 13/PPA";2.213 ( 750 m2 + 1463 m2 );63;03.02.05;-;17/07/2023;-;b41121e0-33b3-4ec3-ab4a-a4932893090e.jfif;Rumah Pompa & PBK
136;982;45;20;89;03.02.05;3;Pembelian;Baik;Tidak;Tidak;"SPHAT : 14/BA/CA/04W 18/1991 ; 26-07-1991 ; 13/PPA";2,7 m2;2.213 ( 750 m2 + 1463 m2 );03.02.05;-;17/07/2023;Bentuk Tabung;b3f9f93d-a0c7-4923-bbaf-ad14cd45bbd5.jfif;Bak WTP
137;982;45;20;89;03.02.05;4;Pembelian;Baik;Tidak;Tidak;"SPHAT : 14/BA/CA/04W 18/1991 ; 26-07-1991 ; 13/PPA";2.213 ( 750 m2 + 1463 m2 );8;03.02.05;-;17/07/2023;-;47a5a90e-4944-4ab0-a3ae-c2f7f39fbb88.jfif;Bak WTP BNI
138;955;45;20;89;03.02.05;5;Pembelian;Baik;Tidak;Tidak;"SPHAT : 14/BA/CA/04W 18/1991 ; 26-07-1991 ; 13/PPA";1 m2;2.213 ( 750 m2 + 1463 m2 );03.02.05;-;17/07/2023;Bentuk Tabung;6054d323-32d4-488f-bf0d-dc7241cc49a0.jfif;Bak Filter 
